form,lemma,POS,morph
lege,lex,NOMcom,Case=Abl|Numb=Sing
data,do,VER,Case=Abl|Numb=Sing|Gend=Fem|Mood=Par|Tense=Perf|Voice=Pass
mihi,ego,PROper,Case=Dat|Numb=Sing
vincere,uinco,VER,Mood=Inf|Tense=Pres|Voice=Act
certum,certus,ADJqua,Case=Nom|Numb=Sing|Gend=Neut|Deg=Pos
est,sum1,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
quid,quis1,PROint,Case=Acc|Numb=Sing|Gend=Neut
nunc,nunc,ADV,Deg=Pos
saeve,saeuus,ADJqua,Case=Voc|Numb=Sing|Gend=Masc|Deg=Pos
iubes,iubeo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=2
natis,natus1,NOMcom,Case=Abl|Numb=Plur
quid,quis1,PROint,Case=Acc|Numb=Sing|Gend=Neut
dure,durus,ADJqua,Case=Voc|Deg=Pos
minaris,minor,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Dep|Person=2
hoc,hic1,PROdem,Case=Abl|Numb=Sing|Gend=MascNeut
solo,solus,PROind,Case=Abl|Numb=Sing|Gend=MascNeut
poteris,possum1,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=2
matrem,mater,NOMcom,Case=Acc|Numb=Sing
turbare,turbo2,VER,Mood=Inf|Tense=Pres|Voice=Act
dolore,dolor,NOMcom,Case=Abl|Numb=Sing
35,3,ADJcar,MORPH=empty
est,sum1,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
mihi,ego,PROper,Case=Dat|Numb=Sing
namque,namque,CONcoo,MORPH=empty
deus,deus,NOMcom,Case=Nom|Numb=Sing
spes,spes,NOMcom,Case=Nom|Numb=Sing
est,sum1,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
mihi,ego,PROper,Case=Dat|Numb=Sing
cura,cura,NOMcom,Case=Nom|Numb=Sing
meorum,mei,PROpos,Case=Gen|Numb=Plur|Gend=MascNeut
per,per,PRE,MORPH=empty
quam,qui1,PROrel,Case=Acc|Numb=Sing|Gend=Fem
spero,spero,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=1
equidem,equidem,ADV,Deg=Pos
te,tu,PROper,Case=Acc|Numb=Sing
nullum,nullus,PROind,Case=Acc|Numb=Sing|Gend=MascNeut
vincere,uinco,VER,Mood=Inf|Tense=Pres|Voice=Act
posse,possum1,VER,Mood=Inf|Tense=Pres|Voice=Act
caeli,caelum1,NOMcom,Case=Gen|Numb=Sing
quaeso,quaeso,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=1
fave,faueo,VER,Numb=Sing|Mood=Imp|Tense=Pres|Voice=Act|Person=2
numen,numen,NOMcom,Case=Acc|Numb=Sing
quia,quia,CONsub,MORPH=empty
iusta,iusta,NOMcom,Case=Acc|Numb=Plur|Deg=Pos
rogamus,rogo,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=1
”,”,PUNC,MORPH=empty
rex,rex,NOMcom,Case=Nom|Numb=Sing
furit,furo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
Antiochus,Antiochus,NOMpro,Case=Nom|Numb=Sing
turbatus,turbo2,VER,Case=Nom|Numb=Sing|Gend=Masc|Mood=Par|Tense=Perf|Voice=Pass
corda,cor,NOMcom,Case=Acc|Numb=Plur
tumultu,tumultus,NOMcom,Case=Abl|Numb=Sing
concutit,concutio,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
et,et2,CONcoo,MORPH=empty
saevos,saeuus,ADJqua,Case=Acc|Numb=Plur|Gend=Masc|Deg=Pos
testatur,testor,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Dep|Person=3
lumine,lumen,NOMcom,Case=Abl|Numb=Sing
vultus,uultus,NOMcom,Case=Acc|Numb=Plur
40,3,ADJcar,MORPH=empty
miraturque,miror,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Dep|Person=3
{miraturque},que,CON,MORPH=empty
diu,diu,ADV,Deg=Pos
possit,possum1,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
quod,quod1,PROrel,Gend=Neut
femina,femina,NOMcom,Case=Nom|Numb=Sing
tantum,tantum1,PROdem,Case=Acc
”,”,PUNC,MORPH=empty
Pare,par2,VER,Case=Voc|Numb=Sing|Person=2
age,age,INJ,Numb=Sing
miles,miles,NOMcom,Case=Voc|Numb=Sing
”,”,PUNC,MORPH=empty
ait,aio,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
”,”,PUNC,MORPH=empty
regi,rex,NOMcom,Case=Dat|Numb=Sing
quoque,quoque,ADV,Deg=Pos
pare,par2,ADJqua,Case=Voc|Numb=Sing|Deg=Pos
minister,minister1,NOMcom,Case=Voc|Numb=Sing
vos,uos,PROper,Case=Voc|Numb=Plur
famuli,famulus1,NOMcom,Case=Voc|Numb=Plur
parete,pareo,VER,Numb=Plur|Mood=Imp|Tense=Pres|Voice=Act|Person=2
mihi,ego,PROper,Case=Dat|Numb=Sing
date,do,VER,Numb=Plur|Mood=Imp|Tense=Pres|Voice=Act|Person=2
digna,dignus,ADJqua,Case=Acc|Numb=Plur|Gend=Neut|Deg=Pos
furenti,furo,ADJqua,Case=Dat|Numb=Sing|Gend=Com
femineo,femineus,ADJqua,Case=Dat|Numb=Sing|Gend=MascNeut|Deg=Pos
tormenta,tormentum,NOMcom,Case=Acc|Numb=Plur
malo,malus1,NOMcom,Case=Abl|Numb=Sing
saevire,saeuio,VER,Mood=Inf|Tense=Pres|Voice=Act
furentem,furo,VER,Case=Acc|Numb=Sing|Gend=MascFem|Mood=Par|Tense=Pres|Voice=Act
femina,femina,NOMcom,Case=Nom|Numb=Sing
me,ego,PROper,Case=Acc|Numb=Sing
cogit,cogo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
quod,quod2,CONsub,Case=Nom|Numb=Sing
plus,multus,ADJqua,Case=Nom|Numb=Sing|Deg=Comp
est,sum1,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
femina,femina,NOMcom,Case=Nom|Numb=Sing
